English,Myanmar
son,သား
try,ကြိုးစားပါ။
woman,မိန်းမ
went,သွားတယ်။
hi,ဟိုင်း
dead,သေပြီ။
many,အများကြီး
mind,စိတ်
wasn,မဟုတ်ခဲ့ပါ။
friend,သူငယ်ချင်း
best,အကောင်းဆုံး
mom,အမေ
hell,ငရဲ
morning,မနက်ခင်း
trying,ကြိုးစားနေပါတယ်။
boy,ကောင်လေး
together,အတူ
yourself,သင်ကိုယ်တိုင်
job,အလုပ်
saw,မြင်သည်။
family,မိသားစု
real,အစစ်အမှန်
without,မပါဘဲ
baby,ကလေး
room,အခန်း
already,ပြီးပြီ။
move,ရွှေ့
most,အများဆုံး
seen,မြင်သည်။
live,အသက်ရှင်
miss,လွမ်းတယ်
actually,အမှန်တကယ်
huh,ဟမ်
shit,ပြောရမှာပါ။
both,နှစ်ခုလုံး
heard,ကြားတယ်။
once,တစ်ကြိမ်
ready,အဆင်သင့်
head,ခေါင်း
called,ခေါ်တယ်။
used,သုံးတယ်။
idea,စိတ်ကူး
knew,သိတယ်။
hold,ကိုင်
happy,ပျော်တယ်။
door,တံခါး
such,အဲဒီလို
fuck,သေရော
brother,အစ်ကို
also,ကိုလည်း
pretty,လှတယ်။
bit,နည်းနည်း
took,ယူတယ်။
haven,ဆိပ်
yet,မရှိသေး
men,ယောက်ျား
whole,တကိုယ်လုံး
start,စတင်ပါ။
use,အသုံးပြု
while,နေစဉ်
since,ကတည်းက
wife,မယား
days,နေ့ရက်များ
guess,ခန့်မှန်း
tomorrow,မနက်ဖြန်
matter,ကိစ္စ
meet,ဆုံ
bring,ယူလာပါ။
tonight,ဒီည
everyone,လူတိုင်း
run,ပြေး
wanna,မေမေ့ကို
hard,ခက်တယ်။
alone,တစ်ယောက်တည်း
myself,ကိုယ့်ကိုယ်ကို
school,ကျောင်း
gone,သွားပြီ
um,အွမ်
end,အဆုံး
saying,ပြောနေသည်။
phone,ဖုန်း
play,ကစားပါ။
looks,ရုပ်ရည်
couldn,နိုင်ခဲ့သည်။
problem,ပြဿနာ
few,အနည်းငယ်
friends,သူငယ်ချင်း
gotta,လုပ်ရမယ်။
ago,လွန်ခဲ့သော
open,ဖွင့်သည်။
anyone,ဘယ်သူမဆို
killed,အသတ်ခံရ
hope,မျှော်လင့်ချက်
face,မျက်နှာ
until,သည်အထိ
lost,ဆုံးရှုံး
police,ရဲ
excuse,ဆင်ခြေ
turn,အလှည့်
business,စီးပွားရေး
case,အမှုတွဲ
wants,လိုလား
says,ဟုဆိုသည်။
TRUE,သမ္မာ
die,သေ
heart,နှလုံး
soon,မကြာမီ
each,တစ်ခုစီ
worry,စိတ်မပူနဲ့
later,နောက်ပိုင်း
year,တစ်နှစ်
watch,စောင့်ကြည့်
music,ဂီတ
hand,လက်
having,ရှိခြင်း။
probably,ဖြစ်နိုင်ပါတယ်။
beautiful,လှတယ်။
doctor,ဆရာဝန်
sit,ထိုင်
eat,စားပါ။
thinking,တွေး
young,လူငယ်
second,ဒုတိယ
working,အလုပ်လုပ်
water,ရေ
person,လူ
part,အပိုင်း
kids,ကလေးတွေ
late,နောက်ကျ
stuff,ပစ္စည်းတွေ
exactly,အတိအကျ
under,အောက်မှာ
death,သေခြင်း။
minute,မိနစ်
pay,ပေးဆောင်
crazy,အရူး
forget,မေ့
everybody,လူတိုင်း
kid,ကလေး
change,ပြောင်းလဲမှု
gave,ပေးတယ်။
happen,ဖြစ်ပျက်
damn,သေတာပဲ
five,ငါး
drink,သောက်
far,အဝေး
knows,သိတယ်။
its,၎င်း၏
whatever,ဘာဖြစ်ဖြစ်
eyes,မျက်စိ
shut,ပိတ်ပါ။
hit,ရိုက်တယ်။
taking,ယူ
easy,လွယ်ပါတယ်။
times,ကြိမ်
check,စစ်ဆေးပါ။
hands,လက်
minutes,မိနစ်
deal,သဘောတူညီချက်
different,မတူဘူး။
means,ဆိုလိုသည်။
point,အမှတ်
inside,အတွင်းပိုင်း
makes,ပြုလုပ်သည်။
asked,မေးတယ်။
somebody,တစ်စုံတစ်ယောက်
mine,မိုင်း
making,လုပ်နေပါတယ်။
body,ခန္ဓာကိုယ်
afraid,ကြောက်တယ်။
sleep,အိပ်ပါ။
chance,အခွင့်အလမ်း
dear,ချစ်လှစွာသော
quite,အတော်လေး
four,လေး
anyway,ဘာပဲဖြစ်ဖြစ်
close,အနီးကပ်
party,ပါတီ
fun,ပျော်စရာ
against,ဆန့်ကျင်ဘက်
word,စကားလုံး
comes,လာပါသည်။
important,အရေးကြီးတယ်။
set,သတ်မှတ်
shall,ရလိမ့်မည်။
story,ဇာတ်လမ်း
number,နံပါတ်
daughter,သမီး
least,အနည်းဆုံး
waiting,စောင့်နေသည်။
